Date,Open,High,Low,Close,Adj Close,Volume
2024-06-27,196.8699951171875,198.57000732421875,193.83999633789062,195.14999389648438,190.9534912109375,11936600
2024-07-17,199.72999572753906,200.0,190.55999755859375,191.60000610351562,187.4798583984375,16156200
2024-07-18,193.77999877929688,193.89999389648438,186.9499969482422,191.4600067138672,187.3428497314453,9960600
2024-07-19,191.69000244140625,193.08999633789062,185.75999450683594,186.2100067138672,182.2057647705078,9195700
2024-07-22,191.0,195.5,189.0500030517578,194.97000122070312,190.77737426757812,7590000
2024-07-23,194.1999969482422,196.24000549316406,192.14999389648438,193.35000610351562,189.1922149658203,5796700
2024-07-24,189.33999633789062,189.61000061035156,180.69000244140625,181.07000732421875,177.17630004882812,13295300
2024-07-25,179.6199951171875,180.24000549316406,173.27000427246094,175.38999938964844,171.61843872070312,12700100
2024-07-26,179.00999450683594,181.3000030517578,177.57000732421875,180.0500030517578,176.17822265625,6567800
2024-07-29,181.5,182.63999938964844,177.85000610351562,178.63999938964844,174.79852294921875,6051600
2024-07-30,179.33999633789062,179.39999389648438,166.77000427246094,166.94000244140625,163.3501434326172,15338900
2024-07-31,175.5800018310547,181.0800018310547,173.41000366210938,180.9499969482422,177.05885314941406,19222200
2024-08-01,171.75999450683594,176.97000122070312,161.3300018310547,164.0,160.4733428955078,24795000
2024-08-02,160.52000427246094,164.25999450683594,157.52999877929688,159.30999755859375,155.88418579101562,16618900
2024-08-05,153.27000427246094,162.82000732421875,151.38999938964844,157.9499969482422,154.55345153808594,12733900
2024-08-06,158.4199981689453,163.6300048828125,156.5,158.72000122070312,155.30690002441406,9301000
2024-08-07,163.5800018310547,164.32000732421875,155.5,156.1199951171875,152.76280212402344,9266900
2024-08-08,160.74000549316406,165.58999633789062,157.8699951171875,164.9499969482422,161.40292358398438,9590900
2024-08-09,164.07000732421875,165.88999938964844,161.97999572753906,164.47999572753906,160.94302368164062,4824600
2024-08-12,160.55999755859375,163.38999938964844,157.4199981689453,162.88999938964844,159.38722229003906,8548000
2024-08-13,164.3000030517578,169.55999755859375,163.27999877929688,169.47000122070312,165.8257293701172,11102100
2024-08-14,170.63999938964844,171.25999450683594,164.72000122070312,167.14999389648438,163.55560302734375,7208200
2024-08-15,171.75,174.63999938964844,170.61000061035156,173.33999633789062,169.6125030517578,10752100
2024-08-16,172.2899932861328,173.3800048828125,170.6300048828125,172.17999267578125,168.47744750976562,5435700
2024-08-19,171.57000732421875,174.32000732421875,168.74000549316406,174.25999450683594,170.51271057128906,6708100
2024-08-20,173.86000061035156,175.42999267578125,171.14999389648438,172.11000061035156,168.40896606445312,6222400
2024-08-21,172.99000549316406,174.8699951171875,172.0800018310547,174.22000122070312,170.4735870361328,6309500
2024-08-22,174.3000030517578,174.58999633789062,168.3800048828125,169.0,165.3658447265625,6743500
