Date,Open,High,Low,Close,Adj Close,Volume,SMA20,SMA50,EMA20,EMA50,RSI,Daily Return,STD20,Bollinger Upper Band,Bollinger Lower Band
2024-06-20,155.82000732421875,166.82000732421875,155.5,161.77999877929688,161.77999877929688,93245700,,,161.77999877929688,161.77999877929688,,,,,
2024-06-21,161.75,163.1999969482422,157.88999938964844,161.22999572753906,161.22999572753906,61334700,,,161.7276175362723,161.75843003216912,,-0.003399697465124474,,,
2024-06-24,159.75,163.39999389648438,158.19000244140625,160.25,160.25,45954100,,,161.58689205662733,161.69927591326052,,-0.006078246936104592,,,
2024-06-25,160.72999572753906,161.0,156.4499969482422,160.25,160.25,40975300,,,161.4595690036152,161.6424415637209,,0.0,,,
2024-06-26,160.60000610351562,160.74000549316406,156.0,157.5399932861328,157.5399932861328,36973400,,,161.08627607814068,161.4815612391096,,-0.01691111833926484,,,
2024-06-27,157.17999267578125,160.61000061035156,156.80999755859375,159.47000122070312,159.47000122070312,34018200,,,160.93234513933712,161.4026765325054,,0.012250907812754175,,,
2024-06-28,160.22999572753906,166.4499969482422,159.41000366210938,162.2100067138672,162.2100067138672,56204600,,,161.05402719405427,161.43433653961762,,0.017181949408603625,,,
2024-07-01,161.25,161.50999450683594,153.63999938964844,157.69000244140625,157.69000244140625,50436700,,,160.73364388427828,161.28749990831523,,-0.02786513831069659,,,
2024-07-02,157.0399932861328,164.5800018310547,156.6999969482422,164.30999755859375,164.30999755859375,57838600,,,161.07424899611783,161.406029227934,,0.041981070547876476,,,
2024-07-03,164.1999969482422,165.25999450683594,162.50999450683594,163.89999389648438,163.89999389648438,26980900,,,161.3433675580575,161.5038317639556,,-0.0024953056308284483,,,
2024-07-05,165.97000122070312,174.0399932861328,165.67999267578125,171.89999389648438,171.89999389648438,61857100,,,162.3487605426696,161.91152439660377,,0.048810251970190066,,,
2024-07-08,174.89999389648438,178.9499969482422,173.22000122070312,178.69000244140625,178.69000244140625,60223400,,,163.90506929493023,162.5695039277725,,0.039499760244382065,,,
2024-07-09,177.97000122070312,180.41000366210938,174.6999969482422,177.10000610351562,177.10000610351562,43395600,,,165.16172994336694,163.13932754250754,,-0.008898071051356093,,,
2024-07-10,179.99000549316406,187.27999877929688,177.8000030517578,183.9600067138672,183.9600067138672,90247000,,,166.9520420167479,163.9558247649138,75.3775674991489,0.038735179977023027,,,
2024-07-11,184.07000732421875,187.11000061035156,177.25,181.94000244140625,181.94000244140625,59231400,,,168.3794668190963,164.6610866345802,72.04723279449243,-0.01098067079114029,,,
2024-07-12,182.02000427246094,186.99000549316406,179.69000244140625,181.61000061035156,181.61000061035156,50827400,,,169.6395176563587,165.3257499277477,72.39559474024864,-0.0018137948039269602,,,
2024-07-15,184.4499969482422,185.5,178.5399932861328,179.8300018310547,179.8300018310547,42202700,,,170.6100399587107,165.89454412003425,71.14469506996463,-0.009801215645144468,,,
2024-07-16,179.69000244140625,179.75,174.52999877929688,177.5500030517578,177.5500030517578,40633100,,,171.27098882471518,166.35162094088616,67.8056726348029,-0.012678634021473623,,,
2024-07-17,169.8000030517578,169.8000030517578,159.3699951171875,159.42999267578125,159.42999267578125,76954200,,,170.1432749057691,166.08018453833304,51.476791940960275,-0.10205581562673571,,,
2024-07-18,163.41000366210938,163.41000366210938,153.1999969482422,155.77000427246094,155.77000427246094,69420300,167.82050018310548,,168.77439198831118,165.67586374359297,47.18503041657273,-0.022956711857619605,9.886630968560151,187.5937621202258,148.04723824598517
2024-07-19,154.86000061035156,155.80999755859375,150.6199951171875,151.5800018310547,151.5800018310547,47513100,167.31050033569335,,167.13683102095342,165.12308484506207,42.087239275120204,-0.026898647534716713,10.461025658901468,188.23255165349627,146.38844901789042
2024-07-22,154.22999572753906,156.6999969482422,152.5399932861328,155.8699951171875,155.8699951171875,43912500,167.0425003051758,,166.06379903011856,164.76021858122385,48.64056822688957,0.02830184215800635,10.691128250060098,188.424756805296,145.6602438050556
